Aquifer;Conductivity [µS/cm];TDS [mg/l];Na+ [mg/l];K+ [mg/l];Ca 2+ [mg/l];Mg 2+ [mg/l];Cl- [mg/l];SO4 2- [mg/l];Cu 2+ [mg/l]
Ca2;;8.435.834.071.199.790;2.745.800.996;;2.905.908.521;7.379.254.883;49465.5;3.009.948.527;
Ca2;;870.554.206.491.797;2.991.860.239;;2.896.294.481;7.370.416.719;49619.0;3.035.921.176;
Ca2+Na;;2.208.442.713.913.850;8.426.418.835;;2.380.884.784;6.771.044.621;128794.0;3.778.898.079;
Ca2+Na;131.9;128150.0;38700.0;189.0;2691.0;638.0;66445.0;3753.0;0.033
Ca2+Na;;;33600.0;;2110.0;560.0;68152.0;3968.0;
Ca2+Na;;161800.0;;;;;109605.0;3972.0;
Ca2;113.1;106950.0;;;;;66156.0;3906.0;
Ca2;;84900.0;;;;;47374.0;3965.0;
Ca2;;82200.0;25960.0;;2494.0;654.0;45552.0;3863.0;
Ca2;;78800.0;;;;;42910.0;3837.0;
Ca2;;79075.0;;;;;43468.0;3898.0;
Ca2+Na;;159250.0;;;;;43555.0;;
Ca2;;76750.0;;;;;41322.0;3807.0;
Ca2;;77425.0;;;;;42159.0;3588.0;
Ca2;;80400.0;;;;;43834.0;3954.0;
Ca2;94.2;75475.0;;;;;42159.0;3947.0;
Ca2;;77775.0;;;;;39646.0;3916.0;
Ca2 brine;;272500.0;118600.0;;2828.0;759.0;180806.0;2676.0;
Ca2 brine;;328650.0;128000.0;;2045.0;675.0;193421.0;2361.0;
Ca2 brine;;317900.0;118000.0;;1887.0;649.0;194122.0;2775.0;
Ca2 brine;;327900.0;129000.0;;2030.0;623.0;194296.0;2966.0;
Ca2 brine;;312200.0;130000.0;;2061.0;617.0;195523.0;3004.0;
Ca2 brine;;300550.0;119000.0;;2914.0;724.0;181197.0;2739.0;
Ca2 brine;;287850.0;;;;;180806.0;2648.0;
Ca2 brine;;324550.0;127500.0;;2075.0;544.0;192019.0;2713.0;
Ca2+Na;;248700.0;106000.0;;2944.0;831.0;178003.0;2640.0;
Ca2 brine;;323500.0;119250.0;;1917.0;640.0;196574.0;2782.0;
Ca2 brine;;319350.0;123000.0;;2114.0;616.0;201130.0;3672.0;
Ca2 brine;;295500.0;;;;;186413.0;2772.0;
Ca2 brine;;327300.0;122400.0;;2016.0;541.0;201130.0;2780.0;
Ca2+Na;;219550.0;;;;;133152.0;3585.0;
Ca2 brine;;306450.0;130000.0;;2062.0;560.0;214725.0;3320.0;
Ca2 brine;;326000.0;116900.0;;1905.0;798.0;195523.0;2591.0;
Ca2+Na;226.0;193600.0;;;;;112128.0;3926.0;
Ca2 brine;;325200.0;;;;;192019.0;2966.0;
Ca2+Na;;168550.0;;;;;111427.0;3912.0;
Ca2+Na;189.0;166600.0;;;;;96991.0;3836.0;
Ca2 brine;;325050.0;120100.0;;2121.0;654.0;193421.0;2650.0;
Ca2+Na;;148300.0;55500.0;;3892.0;551.0;87772.0;3695.0;
Ca2 brine;;318350.0;;;;;191528.0;2619.0;
P55;;172400.0;67000.0;;2577.0;725.0;103018.0;3740.0;
P55;222.0;184800.0;71000.0;74.7;2696.0;605.0;109001.0;3718.0;0.914
P55;215.0;189200.0;70640.0;194.0;2826.0;470.0;108293.0;3664.0;0.848
P55;;177200.0;;;;;106522.0;3542.0;
P55;;174250.0;;;;;101616.0;4046.0;
P55;;161700.0;;;;;98112.0;4064.0;
P55;193.0;157850.0;;;;;89002.0;4128.0;
P55;;117250.0;;;;;82975.0;4036.0;
P55;;109000.0;;;;;61301.0;4123.0;
P55;;107050.0;;;;;60028.0;4046.0;
P55;;99550.0;;;;;58632.0;4154.0;
